"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"CVE-2019-13232-2.patch","CVE-2019-13232-2.patch","","","x86_64-linux","/nix/store/38wrqz2wpn530z87bvy7z3jjgap2pgp7-CVE-2019-13232-2.patch","['/nix/store/38wrqz2wpn530z87bvy7z3jjgap2pgp7-CVE-2019-13232-2.patch']","/nix/store/v5w2k28jq9jmhgpp3gzl37aq4rr90slx-CVE-2019-13232-2.patch.drv","cpe:2.3:a:CVE-2019-13232-2.patch:CVE-2019-13232-2.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2019-13232-2.patch","https://github.com/madler/unzip/commit/47b3ceae397d21bf822bc2ac73052a4b1daf8e1c.patch","","","","","","","",""
"CVE-2019-13232-3.patch","CVE-2019-13232-3.patch","","","x86_64-linux","/nix/store/manbj76kwc2a86siqhkd7q43hnf3ky85-CVE-2019-13232-3.patch","['/nix/store/manbj76kwc2a86siqhkd7q43hnf3ky85-CVE-2019-13232-3.patch']","/nix/store/22s0xw1s378bsj2n8iqpyr0akyzqxlsq-CVE-2019-13232-3.patch.drv","cpe:2.3:a:CVE-2019-13232-3.patch:CVE-2019-13232-3.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2019-13232-3.patch","https://github.com/madler/unzip/commit/6d351831be705cc26d897db44f878a978f4138fc.patch","","","","","","","",""
"CVE-2026-0989.patch","CVE-2026-0989.patch","","","x86_64-linux","/nix/store/nvkvv7iiar0g0z1if6qpfrxfr8q9bqgm-CVE-2026-0989.patch","['/nix/store/nvkvv7iiar0g0z1if6qpfrxfr8q9bqgm-CVE-2026-0989.patch']","/nix/store/3fpg2kj7p6qwzf172ia20d9m567cd6hj-CVE-2026-0989.patch.drv","cpe:2.3:a:CVE-2026-0989.patch:CVE-2026-0989.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2026-0989.patch","https://gitlab.gnome.org/GNOME/libxml2/-/commit/19549c61590c1873468c53e0026a2fbffae428ef.patch","","","","","","","",""
"CVE-2026-0990.patch","CVE-2026-0990.patch","","","x86_64-linux","/nix/store/3jikc07kbx8784rr32l3qnizg9fn17zl-CVE-2026-0990.patch","['/nix/store/3jikc07kbx8784rr32l3qnizg9fn17zl-CVE-2026-0990.patch']","/nix/store/lqri3ifdxxbdf4ayy18dgncm3h33l4x0-CVE-2026-0990.patch.drv","cpe:2.3:a:CVE-2026-0990.patch:CVE-2026-0990.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2026-0990.patch","https://gitlab.gnome.org/GNOME/libxml2/-/commit/1961208e958ca22f80a0b4e4c9d71cfa050aa982.patch","","","","","","","",""
"CVE-2026-0992.patch","CVE-2026-0992.patch","","","x86_64-linux","/nix/store/20ixfm8xcjs8v4ayjcbrw8rk4804nbbv-CVE-2026-0992.patch","['/nix/store/20ixfm8xcjs8v4ayjcbrw8rk4804nbbv-CVE-2026-0992.patch']","/nix/store/bzjbpbbb4n89dzj46s04k6nzlfackq3j-CVE-2026-0992.patch.drv","cpe:2.3:a:CVE-2026-0992.patch:CVE-2026-0992.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2026-0992.patch","https://gitlab.gnome.org/GNOME/libxml2/-/commit/f75abfcaa419a740a3191e56c60400f3ff18988d.patch","","","","","","","",""
"CVE-2026-2903.patch","CVE-2026-2903.patch","","","x86_64-linux","/nix/store/ncv9lnmq0ilzi4na1p2v2pdksxpa66zl-CVE-2026-2903.patch","['/nix/store/ncv9lnmq0ilzi4na1p2v2pdksxpa66zl-CVE-2026-2903.patch']","/nix/store/x156gfr2wv408r6wrgbbfx50r9ai0gyp-CVE-2026-2903.patch.drv","cpe:2.3:a:CVE-2026-2903.patch:CVE-2026-2903.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2026-2903.patch","https://github.com/skvadrik/re2c/commit/febeb977936f9519a25d9fbd10ff8256358cdb97.patch","","","","","","","",""
"CVE-2026-3184.patch","CVE-2026-3184.patch","","","builtin","/nix/store/1qbnm716m96aih10msn9f7dfzm1myza7-CVE-2026-3184.patch","['/nix/store/1qbnm716m96aih10msn9f7dfzm1myza7-CVE-2026-3184.patch']","/nix/store/vbw0vrvfrqd26a86szxz9kf5bs1x61bk-CVE-2026-3184.patch.drv","cpe:2.3:a:CVE-2026-3184.patch:CVE-2026-3184.patch::*:*:*:*:*:*:*","pkg:nix/CVE-2026-3184.patch","https://github.com/util-linux/util-linux/commit/8b29aeb081e297e48c4c1ac53d88ae07e1331984.patch","","","","","","","",""
"PySocks-1.7.1.tar.gz","PySocks-1.7.1.tar.gz","","","x86_64-linux","/nix/store/4yvvvdmbhqvxij971ralh8m4bcq9wxsz-PySocks-1.7.1.tar.gz","['/nix/store/4yvvvdmbhqvxij971ralh8m4bcq9wxsz-PySocks-1.7.1.tar.gz']","/nix/store/rmxja6hdwfmwc7098z0g6hz83fs8hdar-PySocks-1.7.1.tar.gz.drv","cpe:2.3:a:PySocks-1.7.1.tar.gz:PySocks-1.7.1.tar.gz::*:*:*:*:*:*:*","pkg:nix/PySocks-1.7.1.tar.gz","mirror://pypi/P/PySocks/PySocks-1.7.1.tar.gz","","","","","","","",""
"Python-3.13.12.tar.xz","Python-3.13.12.tar.xz","","","builtin","/nix/store/pbf4z46dchy7aghkny10s203zqkdgxxn-Python-3.13.12.tar.xz","['/nix/store/pbf4z46dchy7aghkny10s203zqkdgxxn-Python-3.13.12.tar.xz']","/nix/store/k34j4cx3wl05cdr885s84h0pw1wr2fvn-Python-3.13.12.tar.xz.drv","cpe:2.3:a:Python-3.13.12.tar.xz:Python-3.13.12.tar.xz::*:*:*:*:*:*:*","pkg:nix/Python-3.13.12.tar.xz","https://www.python.org/ftp/python/3.13.12/Python-3.13.12.tar.xz","","","","","","","",""
"Python-3.13.12.tar.xz","Python-3.13.12.tar.xz","","","x86_64-linux","/nix/store/pbf4z46dchy7aghkny10s203zqkdgxxn-Python-3.13.12.tar.xz","['/nix/store/pbf4z46dchy7aghkny10s203zqkdgxxn-Python-3.13.12.tar.xz']","/nix/store/qz5malbwfk9xnkswim7rdh75jsvrlmaa-Python-3.13.12.tar.xz.drv","cpe:2.3:a:Python-3.13.12.tar.xz:Python-3.13.12.tar.xz::*:*:*:*:*:*:*","pkg:nix/Python-3.13.12.tar.xz","https://www.python.org/ftp/python/3.13.12/Python-3.13.12.tar.xz","","","","","","","",""
"a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch","a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch","","","x86_64-linux","/nix/store/yangvadhz99a1sg915jk3ixnj8d3pkb3-a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch","['/nix/store/yangvadhz99a1sg915jk3ixnj8d3pkb3-a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch']","/nix/store/a6bwks0lsy5kk8p5nc7z5gi97x5mplzg-a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch.drv","cpe:2.3:a:a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch:a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch::*:*:*:*:*:*:*","pkg:nix/a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch","https://github.com/pexpect/ptyprocess/commit/a44312974bd9084aa568d2e18ce5b2a7e0e45983.patch","","","","","","","",""
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/f9zy83r51fxj1j8db10pv5ccvvakrsyd-acl-2.3.2","['/nix/store/f9zy83r51fxj1j8db10pv5ccvvakrsyd-acl-2.3.2']","/nix/store/4qm0x8h1mvwgh54lxb5hvyf8w14f6f4h-acl-2.3.2.drv","cpe:2.3:a:xfs:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","gpl2Plus","GPL-2.0-or-later",""
"acl-2.3.2.tar.gz","acl-2.3.2.tar.gz","","","builtin","/nix/store/kfa6p4i5dmvgirqw87557qbg53xif0qh-acl-2.3.2.tar.gz","['/nix/store/kfa6p4i5dmvgirqw87557qbg53xif0qh-acl-2.3.2.tar.gz']","/nix/store/0442lf73plz43gym6ahgydmp752dxczk-acl-2.3.2.tar.gz.drv","cpe:2.3:a:acl-2.3.2.tar.gz:acl-2.3.2.tar.gz::*:*:*:*:*:*:*","pkg:nix/acl-2.3.2.tar.gz","https://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz","","","","","","","",""
"aho-corasick-1.1.3","aho-corasick-1.1.3","","","x86_64-linux","/nix/store/gh5mdfhc7b7070mka7cwfamirnp13hbk-aho-corasick-1.1.3","['/nix/store/gh5mdfhc7b7070mka7cwfamirnp13hbk-aho-corasick-1.1.3']","/nix/store/0377cy7mpm8paznmhp9nw8553kqmyd4y-aho-corasick-1.1.3.drv","cpe:2.3:a:aho-corasick-1.1.3:aho-corasick-1.1.3::*:*:*:*:*:*:*","pkg:nix/aho-corasick-1.1.3","","","","","","","","",""
"anstream-0.6.13","anstream-0.6.13","","","x86_64-linux","/nix/store/j8hrmrfm4fnx0wxlrmf5r7sz3sz2cj8b-anstream-0.6.13","['/nix/store/j8hrmrfm4fnx0wxlrmf5r7sz3sz2cj8b-anstream-0.6.13']","/nix/store/ff9jhghy77njzd533rcv9464x44m899y-anstream-0.6.13.drv","cpe:2.3:a:anstream-0.6.13:anstream-0.6.13::*:*:*:*:*:*:*","pkg:nix/anstream-0.6.13","","","","","","","","",""
"anstyle-1.0.6","anstyle-1.0.6","","","x86_64-linux","/nix/store/qyfayb9nma5s3ssa4japwb3jpj5pppfn-anstyle-1.0.6","['/nix/store/qyfayb9nma5s3ssa4japwb3jpj5pppfn-anstyle-1.0.6']","/nix/store/hv6qfxjpzngnvx4y4bm65i5fvx7sdixa-anstyle-1.0.6.drv","cpe:2.3:a:anstyle-1.0.6:anstyle-1.0.6::*:*:*:*:*:*:*","pkg:nix/anstyle-1.0.6","","","","","","","","",""
"anstyle-parse-0.2.3","anstyle-parse-0.2.3","","","x86_64-linux","/nix/store/gv8xc8scxybslh780b0lwpz472hs0xaz-anstyle-parse-0.2.3","['/nix/store/gv8xc8scxybslh780b0lwpz472hs0xaz-anstyle-parse-0.2.3']","/nix/store/ri163sw0bzxpw3617zxw2nbph9gxlx25-anstyle-parse-0.2.3.drv","cpe:2.3:a:anstyle-parse-0.2.3:anstyle-parse-0.2.3::*:*:*:*:*:*:*","pkg:nix/anstyle-parse-0.2.3","","","","","","","","",""
"anstyle-query-1.0.2","anstyle-query-1.0.2","","","x86_64-linux","/nix/store/r7z8damx03jfshi0rdjgqa2mpbg725dy-anstyle-query-1.0.2","['/nix/store/r7z8damx03jfshi0rdjgqa2mpbg725dy-anstyle-query-1.0.2']","/nix/store/38hwnmnm7c4pbddlwfvg88c50wkwddwr-anstyle-query-1.0.2.drv","cpe:2.3:a:anstyle-query-1.0.2:anstyle-query-1.0.2::*:*:*:*:*:*:*","pkg:nix/anstyle-query-1.0.2","","","","","","","","",""
"anstyle-wincon-3.0.2","anstyle-wincon-3.0.2","","","x86_64-linux","/nix/store/cj1cvjifn68j84mfsqd95d0ra4xna4mj-anstyle-wincon-3.0.2","['/nix/store/cj1cvjifn68j84mfsqd95d0ra4xna4mj-anstyle-wincon-3.0.2']","/nix/store/k9xmvdwnh9dc5nm15ygnrrl5apc6sy7g-anstyle-wincon-3.0.2.drv","cpe:2.3:a:anstyle-wincon-3.0.2:anstyle-wincon-3.0.2::*:*:*:*:*:*:*","pkg:nix/anstyle-wincon-3.0.2","","","","","","","","",""
"anyhow-1.0.82","anyhow-1.0.82","","","x86_64-linux","/nix/store/xs2apvbxwhclcv4wrhw4b85f7mnkzjjg-anyhow-1.0.82","['/nix/store/xs2apvbxwhclcv4wrhw4b85f7mnkzjjg-anyhow-1.0.82']","/nix/store/ljvl3vinkbfid3jdykcx4k6xm687n0v5-anyhow-1.0.82.drv","cpe:2.3:a:anyhow-1.0.82:anyhow-1.0.82::*:*:*:*:*:*:*","pkg:nix/anyhow-1.0.82","","","","","","","","",""
"asciidoc-10.2.1","asciidoc","10.2.1","","x86_64-linux","/nix/store/02kg1h0dxzl4hf5pm5jmnnpqhx6nywlj-asciidoc-10.2.1","['/nix/store/02kg1h0dxzl4hf5pm5jmnnpqhx6nywlj-asciidoc-10.2.1']","/nix/store/3pbh20vhb9m8bav6ga0mmxhz75ncd66r-asciidoc-10.2.1.drv","cpe:2.3:a:asciidoc:asciidoc:10.2.1:*:*:*:*:*:*:*","pkg:nix/asciidoc@10.2.1","","asciidoc","10.2.1","https://asciidoc-py.github.io/","False","Text-based document generation system","gpl2Plus","GPL-2.0-or-later","bjorn.forsman@gmail.com;rschuetz17@gmail.com"
"async-channel-1.9.0","async-channel-1.9.0","","","x86_64-linux","/nix/store/2w7arlnc6vgsr4vwnindpwghlqnr12p2-async-channel-1.9.0","['/nix/store/2w7arlnc6vgsr4vwnindpwghlqnr12p2-async-channel-1.9.0']","/nix/store/8vjrdr2fn771s9y5x2r4bgzxk1bsgcs2-async-channel-1.9.0.drv","cpe:2.3:a:async-channel-1.9.0:async-channel-1.9.0::*:*:*:*:*:*:*","pkg:nix/async-channel-1.9.0","","","","","","","","",""
"attr-2.5.2","attr","2.5.2","/nix/store/wc9c8k7z5w5afdqvz7gjrjlaqf16wfpr-musl.patch","x86_64-linux","/nix/store/yz9fdbdlmfyvivgxkwdsnj5l0lg7j0c0-attr-2.5.2","['/nix/store/yz9fdbdlmfyvivgxkwdsnj5l0lg7j0c0-attr-2.5.2']","/nix/store/i3jnr0fi1fi5kif6pvqd348gbmgldkqn-attr-2.5.2.drv","cpe:2.3:a:attr:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2","","attr","2.5.2","https://savannah.nongnu.org/projects/attr/","False","Library and tools for manipulating extended attributes","gpl2Plus","GPL-2.0-or-later",""
"attr-2.5.2.tar.gz","attr-2.5.2.tar.gz","","","builtin","/nix/store/hskjhnyx00gy9hk9napqkv0qzvpa20sy-attr-2.5.2.tar.gz","['/nix/store/hskjhnyx00gy9hk9napqkv0qzvpa20sy-attr-2.5.2.tar.gz']","/nix/store/7byvrfyi1f00i8jxsc1q8z997j9r10y5-attr-2.5.2.tar.gz.drv","cpe:2.3:a:attr-2.5.2.tar.gz:attr-2.5.2.tar.gz::*:*:*:*:*:*:*","pkg:nix/attr-2.5.2.tar.gz","https://download.savannah.gnu.org/releases/attr/attr-2.5.2.tar.gz","","","","","","","",""
"attrs-25.3.0.tar.gz","attrs-25.3.0.tar.gz","","","x86_64-linux","/nix/store/8yc3wbdg8nfi647wmwf4hbj63naylzcg-attrs-25.3.0.tar.gz","['/nix/store/8yc3wbdg8nfi647wmwf4hbj63naylzcg-attrs-25.3.0.tar.gz']","/nix/store/npzdiqyy5s3j0nd6h4pwhlvww25ggcj8-attrs-25.3.0.tar.gz.drv","cpe:2.3:a:attrs-25.3.0.tar.gz:attrs-25.3.0.tar.gz::*:*:*:*:*:*:*","pkg:nix/attrs-25.3.0.tar.gz","mirror://pypi/a/attrs/attrs-25.3.0.tar.gz","","","","","","","",""
"auditable-cargo-1.91.1","auditable-cargo-1.91.1","","","x86_64-linux","/nix/store/3m07shbn595n5bnpqjigmjmx12q9a0pr-auditable-cargo-1.91.1","['/nix/store/3m07shbn595n5bnpqjigmjmx12q9a0pr-auditable-cargo-1.91.1']","/nix/store/kc3qzyli5d1qnynj6xbnmg3pw2dzzhj2-auditable-cargo-1.91.1.drv","cpe:2.3:a:auditable-cargo-1.91.1:auditable-cargo-1.91.1::*:*:*:*:*:*:*","pkg:nix/auditable-cargo-1.91.1","","auditable-cargo","1.91.1","https://github.com/rust-secure-code/cargo-auditable","False","Tool to make production Rust binaries auditable","mit;asl20","MIT;Apache-2.0",""
"auditable-cargo-1.91.1","auditable-cargo-1.91.1","","","x86_64-linux","/nix/store/h3axy6nf5sj0rfwycpcqj17nfnljkqv3-auditable-cargo-1.91.1","['/nix/store/h3axy6nf5sj0rfwycpcqj17nfnljkqv3-auditable-cargo-1.91.1']","/nix/store/lvxm50wbwgr2bp7zv0lgxfsm9g48w7ry-auditable-cargo-1.91.1.drv","cpe:2.3:a:auditable-cargo-1.91.1:auditable-cargo-1.91.1::*:*:*:*:*:*:*","pkg:nix/auditable-cargo-1.91.1","","auditable-cargo","1.91.1","https://github.com/rust-secure-code/cargo-auditable","False","Tool to make production Rust binaries auditable","mit;asl20","MIT;Apache-2.0",""
"auditable-cargo-bootstrap-1.91.1","auditable-cargo-bootstrap-1.91.1","","","x86_64-linux","/nix/store/d8gzjldv6lgg2lhmz037cr6bkagsrq1g-auditable-cargo-bootstrap-1.91.1","['/nix/store/d8gzjldv6lgg2lhmz037cr6bkagsrq1g-auditable-cargo-bootstrap-1.91.1']","/nix/store/bbsvivlkrh0aaxc1rhd22m8p9bw9k3q8-auditable-cargo-bootstrap-1.91.1.drv","cpe:2.3:a:auditable-cargo-bootstrap-1.91.1:auditable-cargo-bootstrap-1.91.1::*:*:*:*:*:*:*","pkg:nix/auditable-cargo-bootstrap-1.91.1","","","","","","","","",""
"auto-patchelf-0-unstable-2024-08-14","auto-patchelf","0-unstable-2024-08-14","","x86_64-linux","/nix/store/xi6rj3vm0v6fpybpqa4wzxsamzyj5sz9-auto-patchelf-0-unstable-2024-08-14","['/nix/store/xi6rj3vm0v6fpybpqa4wzxsamzyj5sz9-auto-patchelf-0-unstable-2024-08-14']","/nix/store/dazrndbvi3jprcf2bvj09jw2rk38gy90-auto-patchelf-0-unstable-2024-08-14.drv","cpe:2.3:a:auto-patchelf:auto-patchelf:0-unstable-2024-08-14:*:*:*:*:*:*:*","pkg:nix/auto-patchelf@0-unstable-2024-08-14","","auto-patchelf","0-unstable-2024-08-14","","False","Automatically patch ELF binaries using patchelf","mit","MIT","contact@scrumplex.net"
"auto-patchelf-hook","auto-patchelf-hook","","","x86_64-linux","/nix/store/819mr08acl4wksr6avwks0y38n3b42s7-auto-patchelf-hook","['/nix/store/819mr08acl4wksr6avwks0y38n3b42s7-auto-patchelf-hook']","/nix/store/glly7ffq3zd3rhx1bfj44vvis4y1baii-auto-patchelf-hook.drv","cpe:2.3:a:auto-patchelf-hook:auto-patchelf-hook::*:*:*:*:*:*:*","pkg:nix/auto-patchelf-hook","","auto-patchelf-hook","","","False","","","",""
"autocfg-1.2.0","autocfg-1.2.0","","","x86_64-linux","/nix/store/k6ryhjxvz139w7dsw4rwa92w2nwxpk6m-autocfg-1.2.0","['/nix/store/k6ryhjxvz139w7dsw4rwa92w2nwxpk6m-autocfg-1.2.0']","/nix/store/ig30ffwab0kn1ala680d19qj09lwvvgg-autocfg-1.2.0.drv","cpe:2.3:a:autocfg-1.2.0:autocfg-1.2.0::*:*:*:*:*:*:*","pkg:nix/autocfg-1.2.0","","","","","","","","",""
"autoconf-2.72","autoconf","2.72","","x86_64-linux","/nix/store/jrynl6ighjwbyv79wcy6l1lj0s4i4zvq-autoconf-2.72","['/nix/store/jrynl6ighjwbyv79wcy6l1lj0s4i4zvq-autoconf-2.72']","/nix/store/1w8c2iwvdwb5zvx54ygdx9m8lqlbj28b-autoconf-2.72.drv","cpe:2.3:a:autoconf:autoconf:2.72:*:*:*:*:*:*:*","pkg:nix/autoconf@2.72","","autoconf","2.72","https://www.gnu.org/software/autoconf/","False","Part of the GNU Build System","gpl3Plus","GPL-3.0-or-later",""
